CodeID	LitLen	Literal
2688	1	'.' [1]
2690	1	'.' [1]
2707	1	'N' [1]
2708	1	'N' [1]
2732	8	'INQACCCU' [8]
2735	8	'INQCUST ' [8]
2743	8	'ABNDPROC' [8]
2746	6	'DELCUS' [6]
2754	1	'N' [1]
2755	1	'N' [1]
2760		0
2764	1	'Y' [1]
2765	1	' ' [1]
2771		1
2775	8	'DELACC  ' [8]
2782		20
2784	8	'INQACCCU' [8]
2790	8	'CUSTOMER' [8]
2792		1
2792		100
2793		3
2794	8	'CUSTOMER' [8]
2809	1	':' [1]
2811	4	'WPV6' [4]
2813		ZEROS
2814	42	'DCV010 - Unable to READ CUSTOMER VSAM rec ' [42]
2814	8	'for key:' [8]
2814	9	' EIBRESP=' [9]
2814	7	' RESP2=' [7]
2816	19	'In DELCUS (DCV010) ' [19]
2816	32	'UNABLE TO READ CUSTOMER VSAM REC' [32]
2816	11	' RESP CODE=' [11]
2816	7	' RESP2=' [7]
2816	8	'FOR KEY=' [8]
2817	4	'WPV6' [4]
2824		1
2824		2
2825	1	'/' [1]
2825		3
2825		1
2826		3
2826		2
2826		4
2827	1	'/' [1]
2827		6
2827		1
2828		5
2828		4
2828		7
2830		1
2830		2
2831	1	'/' [1]
2831		3
2831		1
2832		3
2832		2
2832		4
2833	1	'/' [1]
2833		6
2833		1
2834		5
2834		4
2834		7
2835	8	'CUSTOMER' [8]
2837		1
2837		100
2838		3
2839	8	'CUSTOMER' [8]
2851	1	':' [1]
2853	4	'WPV7' [4]
2855		ZEROS
2856	47	'DCV010(2) - Unbale to DELETE CUSTOMER VSAM rec ' [47]
2856	8	'for key:' [8]
2856	9	' EIBRESP=' [9]
2856	7	' RESP2=' [7]
