SrcID	SourceFile	Usage	RecordNumber	CommentNumber	RelevantNumber	Module
101	/projects/cics-banking-sample-application-cbsa/src/base/cobol_copy/DELACC.cpy	CPY	0	0	0	DELACC.cpy
102	/projects/cics-banking-sample-application-cbsa/src/base/cobol_copy/PROCISRT.cpy	CPY	0	0	0	PROCISRT.cpy
103	/projects/cics-banking-sample-application-cbsa/src/base/cobol_copy/CREACC.cpy	CPY	0	0	0	CREACC.cpy
104	/projects/cics-banking-sample-application-cbsa/src/base/cobol_copy/PROCDB2.cpy	CPY	0	0	0	PROCDB2.cpy
105	/projects/cics-banking-sample-application-cbsa/src/base/cobol_copy/ACCTCTRL.cpy	CPY	0	0	0	ACCTCTRL.cpy
106	/projects/cics-banking-sample-application-cbsa/src/base/cobol_copy/INQCUST.cpy	CPY	0	0	0	INQCUST.cpy
107	/projects/cics-banking-sample-application-cbsa/src/base/bms_src/BNK1DCM.bms	BMS	108	20	88	BNK1DCM.bms
108	/projects/cics-banking-sample-application-cbsa/src/base/bms_src/BNK1CDM.bms	BMS	68	20	48	BNK1CDM.bms
109	/projects/cics-banking-sample-application-cbsa/src/base/bms_src/BNK1B2M.bms	BMS	149	25	124	BNK1B2M.bms
110	/projects/cics-banking-sample-application-cbsa/src/base/bms_src/BNK1DAM.bms	BMS	118	21	97	BNK1DAM.bms
111	/projects/cics-banking-sample-application-cbsa/src/base/bms_src/BNK1ACC.bms	BMS	58	21	37	BNK1ACC.bms
112	/projects/cics-banking-sample-application-cbsa/src/base/bms_src/BNK1TFM.bms	BMS	89	22	67	BNK1TFM.bms
113	/projects/cics-banking-sample-application-cbsa/src/base/bms_src/BNK1MAI.bms	BMS	63	20	43	BNK1MAI.bms
114	/projects/cics-banking-sample-application-cbsa/src/base/bms_src/BNK1UAM.bms	BMS	122	20	102	BNK1UAM.bms
115	/projects/cics-banking-sample-application-cbsa/src/base/bms_src/BNK1CAM.bms	BMS	115	20	95	BNK1CAM.bms
116	/projects/cics-banking-sample-application-cbsa/src/base/bms_src/BNK1CCM.bms	BMS	126	21	105	BNK1CCM.bms
117	/projects/cics-banking-sample-application-cbsa/src/base/asm_src/DFHNCOPT.assemble	ASSEMBLE	0	0	0	DFHNCOPT.assemble
