CodeID	ErrorCode	Error
876	10010	E-EMSG10010 Error: Variable not in symbol table: INQACC-LAST-STMT-DT
877	10010	E-EMSG10010 Error: Variable not in symbol table: LSTMTDDO
878	10010	E-EMSG10010 Error: Variable not in symbol table: LSTMTMMO
879	10010	E-EMSG10010 Error: Variable not in symbol table: LSTMTYYO
880	10010	E-EMSG10010 Error: Variable not in symbol table: INQACC-NEXT-STMT-DT
881	10010	E-EMSG10010 Error: Variable not in symbol table: NSTMTDDO
882	10010	E-EMSG10010 Error: Variable not in symbol table: NSTMTMMO
883	10010	E-EMSG10010 Error: Variable not in symbol table: NSTMTYYO
884	10010	E-EMSG10010 Error: Variable not in symbol table: INQACC-AVAIL-BAL
885	10010	E-EMSG10010 Error: Variable not in symbol table: INQACC-ACTUAL-BAL
886	10010	E-EMSG10010 Error: Variable not in symbol table: AVBALO
887	10010	E-EMSG10010 Error: Variable not in symbol table: ACTBALO
888	10010	E-EMSG10010 Error: Variable not in symbol table: MESSAGEO
889	10010	E-EMSG10010 Error: Variable not in symbol table: MESSAGEO
895	10010	E-EMSG10010 Error: Variable not in symbol table: ACCNO2I
900	10010	E-EMSG10010 Error: Variable not in symbol table: DFHRESP
908	10010	E-EMSG10010 Error: Variable not in symbol table: MESSAGEO
909	10010	E-EMSG10010 Error: Variable not in symbol table: MESSAGEO
911	10010	E-EMSG10010 Error: Variable not in symbol table: SORTCO
915	10010	E-EMSG10010 Error: Variable not in symbol table: MESSAGEO
916	10010	E-EMSG10010 Error: Variable not in symbol table: MESSAGEO
918	10010	E-EMSG10010 Error: Variable not in symbol table: SORTCO
922	10010	E-EMSG10010 Error: Variable not in symbol table: MESSAGEO
923	10010	E-EMSG10010 Error: Variable not in symbol table: MESSAGEO
925	10010	E-EMSG10010 Error: Variable not in symbol table: SORTCO
929	10010	E-EMSG10010 Error: Variable not in symbol table: MESSAGEO
930	10010	E-EMSG10010 Error: Variable not in symbol table: MESSAGEO
932	10010	E-EMSG10010 Error: Variable not in symbol table: SORTCO
935	10010	E-EMSG10010 Error: Variable not in symbol table: SORTCO
936	10010	E-EMSG10010 Error: Variable not in symbol table: CUSTNOO
937	10010	E-EMSG10010 Error: Variable not in symbol table: ACCNO2O
938	10010	E-EMSG10010 Error: Variable not in symbol table: ACTYPEO
939	10010	E-EMSG10010 Error: Variable not in symbol table: INTRTO
940	10010	E-EMSG10010 Error: Variable not in symbol table: OPENDDO
941	10010	E-EMSG10010 Error: Variable not in symbol table: OPENMMO
942	10010	E-EMSG10010 Error: Variable not in symbol table: OPENYYO
943	10010	E-EMSG10010 Error: Variable not in symbol table: OVERDRO
944	10010	E-EMSG10010 Error: Variable not in symbol table: LSTMTDDO
945	10010	E-EMSG10010 Error: Variable not in symbol table: LSTMTMMO
946	10010	E-EMSG10010 Error: Variable not in symbol table: LSTMTYYO
947	10010	E-EMSG10010 Error: Variable not in symbol table: NSTMTDDO
948	10010	E-EMSG10010 Error: Variable not in symbol table: NSTMTMMO
949	10010	E-EMSG10010 Error: Variable not in symbol table: NSTMTYYO
952	10010	E-EMSG10010 Error: Variable not in symbol table: AVBALO
953	10010	E-EMSG10010 Error: Variable not in symbol table: ACTBALO
954	10010	E-EMSG10010 Error: Variable not in symbol table: MESSAGEO
955	10010	E-EMSG10010 Error: Variable not in symbol table: MESSAGEO
961	10010	E-EMSG10010 Error: Variable not in symbol table: BNK1DAO
962	10010	E-EMSG10010 Error: Variable not in symbol table: DFHRESP
964	10010	E-EMSG10010 Error: Variable not in symbol table: EIBRESP
964	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-RESPCODE
965	10010	E-EMSG10010 Error: Variable not in symbol table: EIBRESP2
965	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-RESP2CODE
966	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-APPLID
967	10010	E-EMSG10010 Error: Variable not in symbol table: EIBTASKN
967	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-TASKNO-KEY
968	10010	E-EMSG10010 Error: Variable not in symbol table: EIBTRNID
968	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-TRANID
970	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-DATE
